Date,Q
23/02/80,0.417078
24/02/80,0.366937
25/02/80,0.344433
26/02/80,0.292871
27/02/80,0.368474
28/02/80,0.425082
29/02/80,0.449065
1/03/80,0.417716
2/03/80,0.433318
3/03/80,0.460694
4/03/80,0.453618
5/03/80,0.453444
6/03/80,0.476209
7/03/80,0.437813
8/03/80,0.417948
9/03/80,0.375927
10/03/80,0.263297
11/03/80,0.208614
12/03/80,0.196417
13/03/80,0.202142
14/03/80,0.21612
15/03/80,0.221235
16/03/80,0.349769
17/03/80,0.294843
18/03/80,0.228056
19/03/80,0.170668
20/03/80,0.195034
21/03/80,0.228302
22/03/80,0.360354
23/03/80,0.413047
24/03/80,0.420297
25/03/80,0.419978
26/03/80,0.433289
27/03/80,0.436131
28/03/80,0.431578
29/03/80,0.427866
30/03/80,0.428417
31/03/80,0.431839
1/04/80,0.445121
2/04/80,0.458635
3/04/80,0.464261
4/04/80,0.468263
5/04/80,0.471337
6/04/80,0.473483
7/04/80,0.475629
8/04/80,0.477775
9/04/80,0.458113
10/04/80,0.415599
11/04/80,0.344491
12/04/80,0.41528
13/04/80,0.408291
14/04/80,0.419775
15/04/80,0.442366
16/04/80,0.452835
17/04/80,0.445208
18/04/80,0.563325
19/04/80,0.501091
20/04/80,0.411684
21/04/80,0.445353
22/04/80,0.77314
23/04/80,0.901842
24/04/80,1.10339
25/04/80,0.868318
26/04/80,0.792918
27/04/80,0.794194
28/04/80,0.735991
29/04/80,0.67077
30/04/80,0.653921
1/05/80,0.693477
2/05/80,0.726015
3/05/80,0.689562
4/05/80,0.745474
5/05/80,0.75777
6/05/80,0.749389
7/05/80,0.839202
8/05/80,0.954274
9/05/80,0.843262
10/05/80,0.862112
11/05/80,0.886617
12/05/80,2.7084
13/05/80,1.88558
14/05/80,1.16487
15/05/80,0.96338
16/05/80,0.881165
17/05/80,0.822179
18/05/80,0.826732
19/05/80,0.820033
20/05/80,3.87034
21/05/80,3.07226
22/05/80,1.28119
23/05/80,1.04896
24/05/80,1.00517
25/05/80,0.979678
26/05/80,0.931422
27/05/80,0.916951
28/05/80,0.92278
29/05/80,0.912021
30/05/80,0.887661
31/05/80,1.58978
1/06/80,1.50588
2/06/80,1.2129
3/06/80,1.08605
4/06/80,9.97368
5/06/80,3.12301
6/06/80,1.67089
7/06/80,1.3407
8/06/80,1.26318
9/06/80,1.29114
10/06/80,2.18959
11/06/80,2.29132
12/06/80,1.58543
13/06/80,1.37095
14/06/80,1.25956
15/06/80,1.2626
16/06/80,5.50507
17/06/80,16.3705
18/06/80,8.21367
19/06/80,3.25989
20/06/80,2.50328
21/06/80,2.1913
22/06/80,1.93363
23/06/80,1.75296
24/06/80,1.61924
25/06/80,1.53077
26/06/80,1.47369
27/06/80,1.72086
28/06/80,46.5856
29/06/80,21.4835
30/06/80,11.1409
1/07/80,7.42487
2/07/80,34.3244
3/07/80,43.7813
4/07/80,126.782
5/07/80,27.0399
6/07/80,14.5244
7/07/80,9.29305
8/07/80,8.81136
9/07/80,7.60206
10/07/80,5.89048
11/07/80,4.86562
12/07/80,4.21109
13/07/80,3.82945
14/07/80,5.53204
15/07/80,4.09045
16/07/80,5.04803
17/07/80,4.12148
18/07/80,5.44127
19/07/80,3.98054
20/07/80,3.42954
21/07/80,4.17223
22/07/80,4.32883
23/07/80,3.62413
24/07/80,3.10735
25/07/80,2.83257
26/07/80,2.65628
27/07/80,2.64074
28/07/80,103.376
29/07/80,118.05
30/07/80,36.8155
31/07/80,15.9184
1/08/80,10.1593
2/08/80,8.23658
3/08/80,7.6618
4/08/80,5.28757
5/08/80,4.69626
6/08/80,4.07015
7/08/80,6.52587
8/08/80,12.3027
9/08/80,5.19129
