"Date","Decade","Station","Flow","Rain","MaxT","gridRain"
1971-11-12,"70_80","COTT",8.64311,0,132.1,50.061304807663
1971-11-19,"70_80","COTT",9.1337,0,148.4,27.1870218664408
1971-11-26,"70_80","COTT",7.69644615384615,0,141.3,2.47450712323189
1971-12-03,"70_80","COTT",6.36930769230769,0,162.1,23.6055841445923
1971-12-10,"70_80","COTT",5.02341307692308,0,168.6,13.5893125534058
1971-12-17,"70_80","COTT",4.29619923076923,0,173,1.74138081073761
1971-12-24,"70_80","COTT",4.21678538461538,0,185.5,42.0548191070557
1971-12-31,"70_80","COTT",13.89846,0,192,65.7886056900024
1972-01-07,"70_80","COTT",1.755,0,18.4,13.5928106307983
1972-01-08,"70_80","COTT",10.1134,0,167.1,26.6186588704586
1972-01-15,"70_80","COTT",6.93510769230769,0,178.3,21.8045616149902
1972-01-22,"70_80","COTT",15.7609,0,172.2,59.3742718696594
1972-01-29,"70_80","COTT",12.4064,0,169.3,12.0862410068512
1972-02-05,"70_80","COTT",9.6465,0,156.6,12.8687620162964
1972-02-12,"70_80","COTT",6.79823076923077,0,180.3,2.4145302772522
1972-02-19,"70_80","COTT",7.37067692307692,0,177.3,49.8350541591644
1972-02-26,"70_80","COTT",14.9569,0,163.6,20.0287811756134
1972-03-04,"70_80","COTT",7.15856923076923,0,181.3,36.2845802009106
1972-03-11,"70_80","COTT",6.57965384615385,0,137.1,2.48038280010223
1972-03-18,"70_80","COTT",4.43853,0,171.8,0
1972-03-25,"70_80","COTT",3.57237,0,168.6,0
1972-04-01,"70_80","COTT",2.99824,0,171.6,0
1972-04-08,"70_80","COTT",4.09783,0,157.1,25.1823133826256
1972-04-15,"70_80","COTT",3.15047,0,154.1,5.17494058609009
1972-04-22,"70_80","COTT",2.38682,0,159.3,0
1972-04-29,"70_80","COTT",3.67984230769231,0,120.4,30.4064572453499
1972-05-06,"70_80","COTT",2.50779,0,160.5,0
1972-05-13,"70_80","COTT",3.14739769230769,0,132.2,33.1822060346603
1972-05-20,"70_80","COTT",3.46529,0,91.2,15.9374521374702
1972-05-27,"70_80","COTT",2.95927,0,106.1,1.22984865307808
1972-06-03,"70_80","COTT",2.4645,0,104.5,0.31533470749855
1972-06-10,"70_80","COTT",2.16724,0,111,0.505555868148804
1972-06-17,"70_80","COTT",2.00061,0,101.5,0.720325529575348
1972-06-24,"70_80","COTT",2.00926,0,82.1,4.66365921497345
1972-07-01,"70_80","COTT",2.56946,0,78.8,36.7928194999695
1972-07-08,"70_80","COTT",3.57451769230769,0,71.6,9.61370420455933
1972-07-15,"70_80","COTT",2.70192,0,83.9,10.5594709813595
1972-07-22,"70_80","COTT",3.65952,0,89.1,8.61798447370529
1972-07-29,"70_80","COTT",3.14706,0,102.1,1.81298626959324
1972-08-05,"70_80","COTT",3.01326,0,93.9,7.49139727652073
1972-08-12,"70_80","COTT",4.30351769230769,0,85.2,36.5339438766241
1972-08-19,"70_80","COTT",4.58435769230769,0,79.9,6.00459504127502
1972-08-26,"70_80","COTT",4.92560615384615,0,106.7,12.489092618227
1972-09-02,"70_80","COTT",9.86146,0,119.9,38.5234225019813
1972-09-09,"70_80","COTT",9.7376,0,137.1,18.8159241676331
1972-09-16,"70_80","COTT",7.9719,0,128,12.3568982966244
1972-09-23,"70_80","COTT",5.99303846153846,0,153.5,0
1972-09-30,"70_80","COTT",4.72756,0,143.7,0
1972-10-07,"70_80","COTT",4.08189,0,144.3,5.96088221669197
1972-10-14,"70_80","COTT",3.59466,0,138.6,15.9755394458771
1972-10-21,"70_80","COTT",3.33738,0,150.9,8.16077690012753
1972-10-28,"70_80","COTT",2.7855,0,158,1.33614838123322
1972-11-04,"70_80","COTT",4.98968923076923,0,144.8,56.2893788516521
