"year","Station","flow","rain"
1987,"NIVE",1059.97355689655,805.2
1988,"NIVE",1206.36795558046,1228.5
1989,"NIVE",608.623939827586,1393.1
1990,"NIVE",902.571554022988,1052.1
1991,"NIVE",1082.93166436782,1087.8
1992,"NIVE",1022.29059034483,1372
1993,"NIVE",996.744670114943,1269.6
1994,"NIVE",1532.98308678161,908.8
1995,"NIVE",933.652589655172,1026
1996,"NIVE",1555.03158965517,1487.2
1997,"NIVE",923.69381091954,978.4
1998,"NIVE",954.776316091954,1146.7
1999,"NIVE",849.333711494253,1052.4
2000,"NIVE",1106.04140597701,1174.8
2001,"NIVE",1001.85960977011,1084.4
2002,"NIVE",1352.41828333333,926.2
2003,"NIVE",1263.60377517241,1094.1
2004,"NIVE",1267.32587528736,1099.4
2005,"NIVE",1115.86885057471,1319.6
2006,"NIVE",837.77378091954,497.2
2007,"NIVE",1018.6023183908,960.5
2008,"NIVE",886.804648850575,859.2
2009,"NIVE",1359.55324137931,1235.4
2010,"NIVE",1003.8846283908,1288
1970,"MURR",514.810513207547,854.6
1971,"MURR",588.860696226415,834.1
1972,"MURR",383.459529245283,595.4
1973,"MURR",494.826601886792,1203.7
1974,"MURR",752.955403773585,1161.2
1975,"MURR",655.067159433962,944
1976,"MURR",442.975289622642,619.6
1977,"MURR",571.896390566038,771
1978,"MURR",459.370761320755,1052.2
1979,"MURR",401.417324528302,772
1980,"MURR",419.951477358491,797
1981,"MURR",540.141277358491,879.4
1982,"MURR",285.240086792453,591.2
1983,"MURR",377.939212264151,986.6
1984,"MURR",539.647424528302,820.8
1985,"MURR",450.85495,820.4
1986,"MURR",638.385566981132,909.8
1987,"MURR",541.599720754717,858.8
1988,"MURR",482.376276415094,992.6
1989,"MURR",678.773568867924,1053
1990,"MURR",547.451204716981,861.2
1991,"MURR",502.826355660377,803.4
1992,"MURR",669.436433018868,1028.2
1993,"MURR",669.691811320755,1067.4
1994,"MURR",485.016364150943,609.2
1995,"MURR",511.262791509434,845.4
1996,"MURR",959.757563207547,1047.8
1997,"MURR",342.342543396226,595
1998,"MURR",349.171231132075,762.8
1999,"MURR",323.722719811321,817.8
2000,"MURR",488.447173584906,939.9
2001,"MURR",386.289297169811,728.6
2002,"MURR",283.587783018868,622
2003,"MURR",351.228069811321,928.2
2004,"MURR",439.324566981132,817.2
2005,"MURR",395.361880188679,721
2006,"MURR",205.309428301887,461.4
2007,"MURR",182.147023584906,658.8
2008,"MURR",195.401152830189,652.8
2009,"MURR",249.438069811321,656.2
2010,"MURR",487.727433018868,1234.4
1970,"SOUT",1861.63852,1547.3
1971,"SOUT",1680.91894,1319.6
1972,"SOUT",1052.58782,902.1
1973,"SOUT",1235.883349,1336.5
1974,"SOUT",1964.448626,1498.4
1975,"SOUT",1498.47329,1316.1
1976,"SOUT",1676.1508,1395.2
1977,"SOUT",1371.70998,1117.9
1978,"SOUT",1875.824479,1851.4
1979,"SOUT",971.65242,894.6
1980,"SOUT",1238.492394,1279.9
1981,"SOUT",1134.050049,1108.2
1982,"SOUT",843.602629,870.6
1983,"SOUT",1410.07591,1307.9
1984,"SOUT",1515.18474,1414.3
1985,"SOUT",1561.41163,1500.4
1986,"SOUT",1361.194369,1033.1
1987,"SOUT",1439.13771,1099.6
1988,"SOUT",1314.213594,1097.6
1989,"SOUT",1420.66844,602
1990,"SOUT",1603.191736,1017.3
1991,"SOUT",1556.952647,1191.2
1992,"SOUT",1690.65807,949
1993,"SOUT",1444.53492,1191.2
1994,"SOUT",1301.1761,1003.1
1995,"SOUT",1739.20005,1281.4
1996,"SOUT",1614.70271,1039.1
1997,"SOUT",793.608638,816.8
1998,"SOUT",1307.676066,1181.3
1999,"SOUT",922.35378,871.1
2000,"SOUT",1174.79987,975.2
2001,"SOUT",1250.711285,1191
2002,"SOUT",957.6768,793.8
2003,"SOUT",1193.223615,999
2004,"SOUT",1168.042045,1098.2
2005,"SOUT",1026.836886,986.4
2006,"SOUT",860.349793,783.2
2007,"SOUT",1232.0283,1092
2008,"SOUT",1082.789506,922.6
2009,"SOUT",1021.2918,846.8
2010,"SOUT",1190.772609,1155
1970,"YARR",62.5874672985,1295.7
1971,"YARR",42.299265772,1311.9
1972,"YARR",21.75746328,1010.9
1973,"YARR",65.6858178,1498.9
1974,"YARR",110.55891931,1549.7
1975,"YARR",24.209932578,1031.5
1976,"YARR",9.40366639,1074.4
1977,"YARR",12.671563588,931.5
1978,"YARR",20.6930214985,1112.4
1979,"YARR",4.469543911,991.9
1980,"YARR",14.8746591605,1283.5
1981,"YARR",34.512494413,1317.8
1982,"YARR",12.5127271085,1158.8
1983,"YARR",47.682111845,1315
1984,"YARR",21.3403411245,1323.6
1985,"YARR",23.4099041235,1201.8
1986,"YARR",5.841173366,1052.2
1987,"YARR",7.9298946405,1054.2
1988,"YARR",46.2755365695,1406.5
1989,"YARR",12.092871233,1244
1990,"YARR",19.6615784575,1202.5
1991,"YARR",35.802530078,1407.3
1992,"YARR",43.36839763,1407.3
1993,"YARR",11.88573621,1203.9
1994,"YARR",13.687637175,942.7
1995,"YARR",20.0099989825,1178.9
1996,"YARR",33.8268104425,1396.7
1997,"YARR",7.017615182,1034.4
1998,"YARR",16.582377904,1264.4
1999,"YARR",28.3700607275,1323.4
2000,"YARR",29.971424357,1221.5
2001,"YARR",0.2224922675,769.6
2002,"YARR",11.718877245,1285.8
2003,"YARR",16.573941329,1264.1
2004,"YARR",11.9783706785,1163.1
2005,"YARR",13.4127034825,1198.8
2006,"YARR",2.4553337395,795.1
2007,"YARR",12.9141827125,1234.6
2008,"YARR",7.3689452515,1134.2
2009,"YARR",20.1643673375,1120.7
2010,"YARR",0.0018611755,589.1
1970,"DOMB",487.984523922414,1308.4
1971,"DOMB",407.738013275862,1318.1
1972,"DOMB",252.856808362069,955.9
1973,"DOMB",492.473288965517,1482.9
1974,"DOMB",364.817858189655,1197.2
1975,"DOMB",340.860006724138,1248.6
1976,"DOMB",252.082034422414,1235
1977,"DOMB",252.979954775862,1147.2
1978,"DOMB",495.806289146552,1514.5
1979,"DOMB",204.383905086207,1059.7
1980,"DOMB",285.280164974138,1217.6
1981,"DOMB",439.343374568965,1498.6
1982,"DOMB",283.547028793103,1058.8
1983,"DOMB",255.99277387931,1073.6
1984,"DOMB",347.774117801724,1333.4
1985,"DOMB",214.672521931034,1087.4
1986,"DOMB",163.891468801724,942.1
1987,"DOMB",63.8878789223707,886.7
1988,"DOMB",456.591311084224,1483.1
1989,"DOMB",259.8952405,1303.8
1990,"DOMB",292.837524146552,1259.6
1991,"DOMB",371.337017534483,1338.2
1992,"DOMB",318.87517422931,1266.7
1993,"DOMB",230.903466163793,1078.6
1994,"DOMB",257.072267680862,1165.4
1995,"DOMB",281.637337885259,1121.7
1996,"DOMB",461.264105560862,1479.1
1997,"DOMB",269.597966672414,1152.9
1998,"DOMB",187.881202623966,1163.6
1999,"DOMB",435.754084413534,1347.2
2000,"DOMB",331.752682543103,1332.5
2001,"DOMB",158.64988462931,996.4
2002,"DOMB",272.941690681034,1092.9
2003,"DOMB",394.018638241379,1362
2004,"DOMB",323.105833232759,1139.4
2005,"DOMB",374.803700974138,1330.7
2006,"DOMB",210.778911103448,1004.9
2007,"DOMB",270.677950284483,1354.2
2008,"DOMB",378.768856470647,1494.4
2009,"DOMB",467.074735828966,1381.2
2010,"DOMB",66.1960878499138,796.3
